,filename,height,width
0,flushed face_top_left.jpg,36,36
1,flushed face_top_right.jpg,36,36
2,flushed face_bottom_left.jpg,36,36
3,flushed face_bottom_right.jpg,36,36
4,yawning face_top_left.jpg,36,36
5,yawning face_top_right.jpg,36,36
6,yawning face_bottom_left.jpg,36,36
7,yawning face_bottom_right.jpg,36,36
8,anguished face_top_left.jpg,36,36
9,anguished face_top_right.jpg,36,36
10,anguished face_bottom_left.jpg,36,36
11,anguished face_bottom_right.jpg,36,36
12,beaming face with smiling eyes_top_left.jpg,36,36
13,beaming face with smiling eyes_top_right.jpg,36,36
14,beaming face with smiling eyes_bottom_left.jpg,36,36
15,beaming face with smiling eyes_bottom_right.jpg,36,36
16,disappointed face_top_left.jpg,36,36
17,disappointed face_top_right.jpg,36,36
18,disappointed face_bottom_left.jpg,36,36
19,disappointed face_bottom_right.jpg,36,36
20,thinking face_top_left.jpg,36,36
21,thinking face_top_right.jpg,36,36
22,thinking face_bottom_left.jpg,36,36
23,thinking face_bottom_right.jpg,36,36
24,grinning face_top_left.jpg,36,36
25,grinning face_top_right.jpg,36,36
26,grinning face_bottom_left.jpg,36,36
27,grinning face_bottom_right.jpg,36,36
28,exploding head_top_left.jpg,36,36
29,exploding head_top_right.jpg,36,36
30,exploding head_bottom_left.jpg,36,36
31,exploding head_bottom_right.jpg,36,36
32,slightly frowning face_top_left.jpg,36,36
33,slightly frowning face_top_right.jpg,36,36
34,slightly frowning face_bottom_left.jpg,36,36
35,slightly frowning face_bottom_right.jpg,36,36
36,pleading face_top_left.jpg,36,36
37,pleading face_top_right.jpg,36,36
38,pleading face_bottom_left.jpg,36,36
39,pleading face_bottom_right.jpg,36,36
40,cowboy hat face_top_left.jpg,36,36
41,cowboy hat face_top_right.jpg,36,36
42,cowboy hat face_bottom_left.jpg,36,36
43,cowboy hat face_bottom_right.jpg,36,36
44,hugging face_top_left.jpg,36,36
45,hugging face_top_right.jpg,36,36
46,hugging face_bottom_left.jpg,36,36
47,hugging face_bottom_right.jpg,36,36
48,grimacing face_top_left.jpg,36,36
49,grimacing face_top_right.jpg,36,36
50,grimacing face_bottom_left.jpg,36,36
51,grimacing face_bottom_right.jpg,36,36
52,smiling face_top_left.jpg,36,36
53,smiling face_top_right.jpg,36,36
54,smiling face_bottom_left.jpg,36,36
55,smiling face_bottom_right.jpg,36,36
56,grinning face with smiling eyes_top_left.jpg,36,36
57,grinning face with smiling eyes_top_right.jpg,36,36
58,grinning face with smiling eyes_bottom_left.jpg,36,36
59,grinning face with smiling eyes_bottom_right.jpg,36,36
60,cold face_top_left.jpg,36,36
61,cold face_top_right.jpg,36,36
62,cold face_bottom_left.jpg,36,36
63,cold face_bottom_right.jpg,36,36
64,confounded face_top_left.jpg,36,36
65,confounded face_top_right.jpg,36,36
66,confounded face_bottom_left.jpg,36,36
67,confounded face_bottom_right.jpg,36,36
68,winking face_top_left.jpg,36,36
69,winking face_top_right.jpg,36,36
70,winking face_bottom_left.jpg,36,36
71,winking face_bottom_right.jpg,36,36
72,dizzy face_top_left.jpg,36,36
73,dizzy face_top_right.jpg,36,36
74,dizzy face_bottom_left.jpg,36,36
75,dizzy face_bottom_right.jpg,36,36
76,smiling face with heart-eyes_top_left.jpg,36,36
77,smiling face with heart-eyes_top_right.jpg,36,36
78,smiling face with heart-eyes_bottom_left.jpg,36,36
79,smiling face with heart-eyes_bottom_right.jpg,36,36
80,pouting face_top_left.jpg,36,36
81,pouting face_top_right.jpg,36,36
82,pouting face_bottom_left.jpg,36,36
83,pouting face_bottom_right.jpg,36,36
84,sleeping face_top_left.jpg,36,36
85,sleeping face_top_right.jpg,36,36
86,sleeping face_bottom_left.jpg,36,36
87,sleeping face_bottom_right.jpg,36,36
88,crying face_top_left.jpg,36,36
89,crying face_top_right.jpg,36,36
90,crying face_bottom_left.jpg,36,36
91,crying face_bottom_right.jpg,36,36
92,neutral face_top_left.jpg,36,36
93,neutral face_top_right.jpg,36,36
94,neutral face_bottom_left.jpg,36,36
95,neutral face_bottom_right.jpg,36,36
96,slightly smiling face_top_left.jpg,36,36
97,slightly smiling face_top_right.jpg,36,36
98,slightly smiling face_bottom_left.jpg,36,36
99,slightly smiling face_bottom_right.jpg,36,36
100,star-struck_top_left.jpg,36,36
101,star-struck_top_right.jpg,36,36
102,star-struck_bottom_left.jpg,36,36
103,star-struck_bottom_right.jpg,36,36
104,worried face_top_left.jpg,36,36
105,worried face_top_right.jpg,36,36
106,worried face_bottom_left.jpg,36,36
107,worried face_bottom_right.jpg,36,36
108,smiling face with halo_top_left.jpg,36,36
109,smiling face with halo_top_right.jpg,36,36
110,smiling face with halo_bottom_left.jpg,36,36
111,smiling face with halo_bottom_right.jpg,36,36
112,face with open mouth_top_left.jpg,36,36
113,face with open mouth_top_right.jpg,36,36
114,face with open mouth_bottom_left.jpg,36,36
115,face with open mouth_bottom_right.jpg,36,36
116,loudly crying face_top_left.jpg,36,36
117,loudly crying face_top_right.jpg,36,36
118,loudly crying face_bottom_left.jpg,36,36
119,loudly crying face_bottom_right.jpg,36,36
120,frowning face_top_left.jpg,36,36
121,frowning face_top_right.jpg,36,36
122,frowning face_bottom_left.jpg,36,36
123,frowning face_bottom_right.jpg,36,36
124,squinting face with tongue_top_left.jpg,36,36
125,squinting face with tongue_top_right.jpg,36,36
126,squinting face with tongue_bottom_left.jpg,36,36
127,squinting face with tongue_bottom_right.jpg,36,36
128,face with tongue_top_left.jpg,36,36
129,face with tongue_top_right.jpg,36,36
130,face with tongue_bottom_left.jpg,36,36
131,face with tongue_bottom_right.jpg,36,36
132,smiling face with sunglasses_top_left.jpg,36,36
133,smiling face with sunglasses_top_right.jpg,36,36
134,smiling face with sunglasses_bottom_left.jpg,36,36
135,smiling face with sunglasses_bottom_right.jpg,36,36
136,face with hand over mouth_top_left.jpg,36,36
137,face with hand over mouth_top_right.jpg,36,36
138,face with hand over mouth_bottom_left.jpg,36,36
139,face with hand over mouth_bottom_right.jpg,36,36
140,face with monocle_top_left.jpg,36,36
141,face with monocle_top_right.jpg,36,36
142,face with monocle_bottom_left.jpg,36,36
143,face with monocle_bottom_right.jpg,36,36
144,face without mouth_top_left.jpg,36,36
145,face without mouth_top_right.jpg,36,36
146,face without mouth_bottom_left.jpg,36,36
147,face without mouth_bottom_right.jpg,36,36
148,kissing face with closed eyes_top_left.jpg,36,36
149,kissing face with closed eyes_top_right.jpg,36,36
150,kissing face with closed eyes_bottom_left.jpg,36,36
151,kissing face with closed eyes_bottom_right.jpg,36,36
152,smirking face_top_left.jpg,36,36
153,smirking face_top_right.jpg,36,36
154,smirking face_bottom_left.jpg,36,36
155,smirking face_bottom_right.jpg,36,36
156,frowning face with open mouth_top_left.jpg,36,36
157,frowning face with open mouth_top_right.jpg,36,36
158,frowning face with open mouth_bottom_left.jpg,36,36
159,frowning face with open mouth_bottom_right.jpg,36,36
160,rolling on the floor laughing_top_left.jpg,36,36
161,rolling on the floor laughing_top_right.jpg,36,36
162,rolling on the floor laughing_bottom_left.jpg,36,36
163,rolling on the floor laughing_bottom_right.jpg,36,36
164,face screaming in fear_top_left.jpg,36,36
165,face screaming in fear_top_right.jpg,36,36
166,face screaming in fear_bottom_left.jpg,36,36
167,face screaming in fear_bottom_right.jpg,36,36
168,face with head-bandage_top_left.jpg,36,36
169,face with head-bandage_top_right.jpg,36,36
170,face with head-bandage_bottom_left.jpg,36,36
171,face with head-bandage_bottom_right.jpg,36,36
172,face with raised eyebrow_top_left.jpg,36,36
173,face with raised eyebrow_top_right.jpg,36,36
174,face with raised eyebrow_bottom_left.jpg,36,36
175,face with raised eyebrow_bottom_right.jpg,36,36
176,winking face with tongue_top_left.jpg,36,36
177,winking face with tongue_top_right.jpg,36,36
178,winking face with tongue_bottom_left.jpg,36,36
179,winking face with tongue_bottom_right.jpg,36,36
180,face vomiting_top_left.jpg,36,36
181,face vomiting_top_right.jpg,36,36
182,face vomiting_bottom_left.jpg,36,36
183,face vomiting_bottom_right.jpg,36,36
184,downcast face with sweat_top_left.jpg,36,36
185,downcast face with sweat_top_right.jpg,36,36
186,downcast face with sweat_bottom_left.jpg,36,36
187,downcast face with sweat_bottom_right.jpg,36,36
188,anxious face with sweat_top_left.jpg,36,36
189,anxious face with sweat_top_right.jpg,36,36
190,anxious face with sweat_bottom_left.jpg,36,36
191,anxious face with sweat_bottom_right.jpg,36,36
192,sneezing face_top_left.jpg,36,36
193,sneezing face_top_right.jpg,36,36
194,sneezing face_bottom_left.jpg,36,36
195,sneezing face_bottom_right.jpg,36,36
196,astonished face_top_left.jpg,36,36
197,astonished face_top_right.jpg,36,36
198,astonished face_bottom_left.jpg,36,36
199,astonished face_bottom_right.jpg,36,36
200,hot face_top_left.jpg,36,36
201,hot face_top_right.jpg,36,36
202,hot face_bottom_left.jpg,36,36
203,hot face_bottom_right.jpg,36,36
204,tired face_top_left.jpg,36,36
205,tired face_top_right.jpg,36,36
206,tired face_bottom_left.jpg,36,36
207,tired face_bottom_right.jpg,36,36
208,confused face_top_left.jpg,36,36
209,confused face_top_right.jpg,36,36
210,confused face_bottom_left.jpg,36,36
211,confused face_bottom_right.jpg,36,36
212,nauseated face_top_left.jpg,36,36
213,nauseated face_top_right.jpg,36,36
214,nauseated face_bottom_left.jpg,36,36
215,nauseated face_bottom_right.jpg,36,36
216,sad but relieved face_top_left.jpg,36,36
217,sad but relieved face_top_right.jpg,36,36
218,sad but relieved face_bottom_left.jpg,36,36
219,sad but relieved face_bottom_right.jpg,36,36
220,grinning face with sweat_top_left.jpg,36,36
221,grinning face with sweat_top_right.jpg,36,36
222,grinning face with sweat_bottom_left.jpg,36,36
223,grinning face with sweat_bottom_right.jpg,36,36
224,face with thermometer_top_left.jpg,36,36
225,face with thermometer_top_right.jpg,36,36
226,face with thermometer_bottom_left.jpg,36,36
227,face with thermometer_bottom_right.jpg,36,36
228,face blowing a kiss_top_left.jpg,36,36
229,face blowing a kiss_top_right.jpg,36,36
230,face blowing a kiss_bottom_left.jpg,36,36
231,face blowing a kiss_bottom_right.jpg,36,36
232,face savoring food_top_left.jpg,36,36
233,face savoring food_top_right.jpg,36,36
234,face savoring food_bottom_left.jpg,36,36
